,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
352,01730,13649,43.9,108818,48886,538,3.941680709209466
353,01731,1717,17.7,75446,22388,85,4.9504950495049505
354,01740,4967,43.1,146029,55369,138,2.778337024360781
355,01741,4918,48.2,160034,77585,275,5.591703944692965
356,01742,18586,45.9,135217,68920,734,3.9492090821048103
357,01745,305,50.2,57250,40472,0,0.0
358,01746,13811,42.4,110323,46206,523,3.786836579538049
359,01747,5928,41.5,89408,38747,116,1.9568151147098516
360,01748,15271,39.5,129578,56899,321,2.1020234431274964
361,01749,19263,42.8,71971,35713,1254,6.509889425323158
362,01752,38842,39.5,70304,35335,2785,7.170073631635858
363,01754,10211,41.7,77622,39447,797,7.805308001175203
364,01756,5851,43,105389,41740,95,1.623654076226286
365,01757,28252,38.2,66547,32180,2914,10.314314030865072
366,01760,33353,41.6,95328,50239,1433,4.296465085599496
367,01770,4169,45.5,153444,73420,112,2.686495562485008
368,01772,9502,42.1,150129,63375,295,3.104609555882972
369,01773,4836,48.5,149539,75535,142,2.93631100082713
370,01775,6737,42.2,115714,47880,184,2.73118598782841
371,01776,17922,42.9,170924,72744,266,1.4842093516348622
372,01778,13280,46.7,130022,68811,486,3.6596385542168677
373,01801,38961,39.7,75138,35354,2407,6.177972844639512
374,01803,24700,41.8,94272,41119,1102,4.461538461538462
375,01810,33746,42.7,112681,52275,1404,4.160493095477983
376,01821,30591,40.4,87996,35975,1926,6.295969402765519
377,01824,24673,43.4,104538,44267,747,3.0276010213593807
378,01826,29968,40.3,78169,32690,1288,4.297917778964228
379,01827,3255,44.2,119022,48133,40,1.228878648233487
380,01830,25687,39,55255,29567,3609,14.049908514034337
381,01832,22121,38.5,57833,29014,2412,10.9036661995389
382,01833,8295,42.4,107775,43297,191,2.3025919228450875
383,01834,6675,46.1,97463,40222,146,2.1872659176029963
384,01835,13527,37.1,72228,31429,1153,8.523693354032675
385,01840,4547,36.8,18261,14758,1798,39.54255553111942
386,01841,47676,29.6,31214,15117,14334,30.0654417316889
387,01843,24597,32.6,42891,21024,6018,24.46639834126113
388,01844,47690,39.9,67556,30520,4022,8.43363388551059
389,01845,28677,41,96002,46788,1499,5.227185549394986
390,01850,15496,32,51538,22503,3095,19.972896231285493
391,01851,29791,33.5,51630,22714,4903,16.457990668322648
392,01852,33106,35.6,48951,26878,5632,17.012021989971608
393,01854,29073,29.6,42947,19646,6040,20.7752897877756
394,01860,6440,43.5,79423,36605,184,2.857142857142857
395,01862,10992,39,85497,30074,607,5.522197962154294
396,01863,9526,40.5,81160,37573,714,7.495276086500105
397,01864,15076,42.4,110852,45031,721,4.782435659326081
398,01867,24524,41.8,105524,47036,417,1.7003751427173381
399,01876,28778,43.4,90897,39980,890,3.0926402112724998
400,01879,11675,42.1,90987,40920,691,5.918629550321199
401,01880,25116,42.1,84556,40379,975,3.8819875776397517
402,01886,22458,42.4,124464,49341,411,1.8300828212663638
403,01887,22656,41.7,99508,37424,530,2.3393361581920904
404,01890,21621,42.5,131000,64385,719,3.3254706072799594
405,01901,2023,42.8,23467,20625,569,28.126544735541277
406,01902,44827,32,37275,20391,10625,23.70223302920115
407,01904,18803,40.6,80903,33409,1040,5.531032282082647
408,01905,25090,32.4,42490,19934,6680,26.624153049023516
409,01906,27051,44.9,76339,34350,1341,4.957302872352224
410,01907,14086,44,92399,48336,660,4.685503336646316
411,01908,3432,49.7,66964,45464,99,2.8846153846153846
412,01913,16429,41.3,78486,38659,892,5.429423580254428
413,01915,40026,39.8,70563,37554,3185,7.957327736970969
414,01921,8040,45.6,125833,58734,70,0.8706467661691543
415,01922,3025,44.4,109301,40983,66,2.1818181818181817
416,01923,26810,43,79478,38281,1377,5.136143230138008
417,01929,3546,45.4,74211,42259,124,3.496897913141568
418,01930,29043,47.1,61449,35928,2931,10.09193265158558
419,01937,89,72.1,,29602,44,49.438202247191015
420,01938,13354,48.1,77087,43021,674,5.047176875842444
421,01940,12299,44.4,106239,46227,260,2.1139930075615903
422,01944,5185,48.3,115650,70075,301,5.8052073288331725
423,01945,19958,44.7,98399,58082,1074,5.381300731536226
424,01949,9131,41.1,104245,39115,283,3.0993319461176214
425,01950,17569,46.3,78638,46124,1446,8.230405828447834
426,01951,3707,49.2,81106,42632,266,7.175613703803615
427,01952,8396,46.2,72131,35656,668,7.956169604573606
428,01960,51319,44.3,64430,34255,3181,6.19848399228356
429,01966,7040,52.1,66402,41762,307,4.360795454545454
430,01969,5914,45.1,83237,38324,589,9.959418329387892
431,01970,41747,36.9,55698,31407,6229,14.920832634680336
